name,acronym,AP_location,DV_location,ML_location,avIndex
Red nucleus,RN,-3.08,4.45,-1.08,854
Red nucleus,RN,-3.08,4.24,-0.84,854
Midbrain reticular nucleus,MRN,-3.08,3.52,-0.45,827
Interstitial nucleus of Cajal,INC,-3.08,3.91,-0.42,841
Midbrain reticular nucleus,MRN,-3.08,4.1,-0.38,827
Red nucleus,RN,-3.08,4.6,0.56,854
Red nucleus,RN,-3.08,4.3,0.73,854
Red nucleus,RN,-3.08,4.67,0.74,854
Superior colliculus motor related intermediate white layer,SCiw,-3.08,2.97,1.07,834
Superior colliculus motor related intermediate white layer,SCiw,-3.08,2.92,1.1,834
Superior colliculus motor related intermediate gray layer,SCig,-3.08,3.02,1.73,835
Midbrain reticular nucleus,MRN,-3.16,3.72,-1.12,827
Midbrain reticular nucleus,MRN,-3.16,3.62,-0.79,827
Midbrain reticular nucleus,MRN,-3.16,3.79,-0.72,827
Nucleus of Darkschewitsch,ND,-3.16,3.89,-0.17,842
Midbrain reticular nucleus,MRN,-3.16,4.07,0.44,827
Red nucleus,RN,-3.16,4.29,0.61,854
Superior colliculus motor related deep gray layer,SCdg,-3.16,2.89,0.63,832
Red nucleus,RN,-3.16,4.45,0.64,854
Red nucleus,RN,-3.16,4.53,0.64,854
Midbrain,MB,-3.16,3.12,0.65,807
Red nucleus,RN,-3.16,4.34,0.67,854
Superior colliculus motor related intermediate white layer,SCiw,-3.16,2.5,0.72,834
Midbrain,MB,-3.16,2.98,0.74,807
Superior colliculus motor related intermediate white layer,SCiw,-3.16,2.82,0.85,834
Superior colliculus motor related intermediate white layer,SCiw,-3.16,2.62,0.95,834
Superior colliculus motor related intermediate gray layer,SCig,-3.16,3.14,1.5,835
Superior colliculus motor related intermediate white layer,SCiw,-3.24,2.73,-1.07,834
Red nucleus,RN,-3.24,4.2,-0.73,854
Superior colliculus motor related intermediate white layer,SCiw,-3.24,2.45,-0.64,834
Midbrain reticular nucleus,MRN,-3.24,3.99,-0.57,827
Midbrain reticular nucleus,MRN,-3.24,3.69,-0.55,827
Midbrain reticular nucleus,MRN,-3.24,4.04,-0.49,827
Superior colliculus motor related intermediate gray layer,SCig,-3.24,2.2,-0.45,835
Periaqueductal gray,PAG,-3.24,3.44,-0.4,839
Nucleus of Darkschewitsch,ND,-3.24,3.84,-0.18,842
Midbrain reticular nucleus,MRN,-3.24,3.99,0.36,827
Midbrain reticular nucleus,MRN,-3.24,4.1,0.4,827
Red nucleus,RN,-3.24,4.42,0.51,854
Red nucleus,RN,-3.24,4.19,0.53,854
Red nucleus,RN,-3.24,4.6,0.61,854
Red nucleus,RN,-3.24,4.23,0.62,854
Red nucleus,RN,-3.24,4.49,0.64,854
Red nucleus,RN,-3.24,4.3,0.64,854
Superior colliculus motor related intermediate white layer,SCiw,-3.24,2.58,0.74,834
Superior colliculus motor related deep gray layer,SCdg,-3.24,3,0.75,832
Midbrain reticular nucleus,MRN,-3.24,3.56,0.8,827
Superior colliculus motor related intermediate white layer,SCiw,-3.24,2.61,0.82,834
Red nucleus,RN,-3.24,4.34,0.83,854
Midbrain,MB,-3.24,3.14,0.89,807
Red nucleus,RN,-3.24,4.18,0.89,854
Superior colliculus motor related intermediate white layer,SCiw,-3.24,2.95,0.94,834
Superior colliculus motor related intermediate white layer,SCiw,-3.24,3.09,0.96,834
Red nucleus,RN,-3.24,4.22,0.96,854
Red nucleus,RN,-3.24,4.34,1,854
Superior colliculus motor related intermediate white layer,SCiw,-3.24,2.52,1.05,834
Superior colliculus motor related intermediate white layer,SCiw,-3.24,3.18,1.06,834
Superior colliculus motor related intermediate white layer,SCiw,-3.24,3.02,1.09,834
Superior colliculus motor related intermediate white layer,SCiw,-3.24,3.03,1.14,834
Midbrain,MB,-3.24,3.5,1.37,807
Superior colliculus motor related intermediate white layer,SCiw,-3.32,2.93,-1.1,834
Midbrain reticular nucleus,MRN,-3.32,3.93,-0.48,827
Midbrain reticular nucleus,MRN,-3.32,3.99,-0.43,827
Superior colliculus motor related deep gray layer,SCdg,-3.32,2.49,-0.36,832
Midbrain reticular nucleus,MRN,-3.32,4.02,-0.31,827
Midbrain reticular nucleus,MRN,-3.32,4.05,-0.23,827
Midbrain reticular nucleus,MRN,-3.32,4.2,0.34,827
Red nucleus,RN,-3.32,4.46,0.35,854
Red nucleus,RN,-3.32,4.36,0.42,854
