name,acronym,AP_location,DV_location,ML_location,avIndex
Midbrain reticular nucleus,MRN,-3.14,4.69,-1.38,827
medial lemniscus,ml,-3.14,5.09,-0.93,1160
Superior colliculus motor related intermediate white layer,SCiw,-3.14,2.82,-0.88,834
Midbrain,MB,-3.14,3.29,-0.77,807
Midbrain reticular nucleus,MRN,-3.14,3.4,-0.76,827
Red nucleus,RN,-3.14,4.76,-0.76,854
Midbrain reticular nucleus,MRN,-3.14,3.64,-0.44,827
Red nucleus,RN,-3.14,4.27,0.43,854
Midbrain,MB,-3.14,3.16,0.61,807
Red nucleus,RN,-3.14,4.17,0.63,854
Midbrain,MB,-3.14,3.1,0.69,807
Midbrain,MB,-3.14,3.19,0.69,807
Midbrain,MB,-3.14,3.22,0.74,807
Midbrain,MB,-3.14,3.12,0.75,807
Midbrain,MB,-3.14,3.23,0.81,807
Midbrain,MB,-3.14,3.3,0.88,807
Superior colliculus motor related intermediate white layer,SCiw,-3.14,3.21,0.92,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,2.63,-0.86,834
Superior colliculus motor related deep gray layer,SCdg,-3.22,2.9,-0.72,832
Midbrain reticular nucleus,MRN,-3.22,3.33,-0.72,827
Midbrain reticular nucleus,MRN,-3.22,3.85,-0.72,827
Midbrain reticular nucleus,MRN,-3.22,3.91,-0.67,827
Red nucleus,RN,-3.22,4.01,-0.62,854
Midbrain reticular nucleus,MRN,-3.22,3.69,-0.59,827
Midbrain reticular nucleus,MRN,-3.22,3.36,-0.58,827
Midbrain reticular nucleus,MRN,-3.22,3.41,-0.54,827
Midbrain reticular nucleus,MRN,-3.22,4.06,-0.5,827
Red nucleus,RN,-3.22,4.21,-0.47,854
Midbrain reticular nucleus,MRN,-3.22,4.19,-0.39,827
Midbrain reticular nucleus,MRN,-3.22,4.13,-0.35,827
doral tegmental decussation,dtd,-3.22,4.23,0.1,1229
Midbrain reticular nucleus,MRN,-3.22,4.18,0.21,827
Midbrain,MB,-3.22,4.57,0.2,807
Interstitial nucleus of Cajal,INC,-3.22,3.85,0.48,841
Midbrain reticular nucleus,MRN,-3.22,3.71,0.51,827
Red nucleus,RN,-3.22,4.58,0.58,854
Periaqueductal gray,PAG,-3.22,3.1,0.61,839
Red nucleus,RN,-3.22,4.25,0.65,854
Red nucleus,RN,-3.22,4.43,0.67,854
Midbrain,MB,-3.22,3.13,0.82,807
Red nucleus,RN,-3.22,4.23,0.87,854
Superior colliculus motor related intermediate white layer,SCiw,-3.22,2.73,0.89,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.16,0.93,834
Red nucleus,RN,-3.22,4.04,0.97,854
Superior colliculus motor related intermediate white layer,SCiw,-3.22,2.89,1.06,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.2,1.14,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.22,1.44,834
Superior colliculus motor related intermediate white layer,SCiw,-3.22,3.12,1.56,834
Superior colliculus motor related intermediate gray layer,SCig,-3.22,3.2,1.7,835
Midbrain,MB,-3.3,3.15,-0.92,807
Superior colliculus motor related deep gray layer,SCdg,-3.3,2.85,-0.78,832
Red nucleus,RN,-3.3,4.03,-0.74,854
Midbrain,MB,-3.3,3.19,-0.73,807
Red nucleus,RN,-3.3,3.98,-0.62,854
Midbrain reticular nucleus,MRN,-3.3,3.56,-0.61,827
Midbrain reticular nucleus,MRN,-3.3,3.46,-0.6,827
Midbrain reticular nucleus,MRN,-3.3,3.91,-0.6,827
Midbrain reticular nucleus,MRN,-3.3,3.52,-0.56,827
Red nucleus,RN,-3.3,4.06,-0.54,854
Red nucleus,RN,-3.3,4.3,-0.52,854
Midbrain reticular nucleus,MRN,-3.3,3.48,-0.48,827
Red nucleus,RN,-3.3,4.48,-0.45,854
Midbrain reticular nucleus,MRN,-3.3,3.56,-0.41,827
Midbrain reticular nucleus,MRN,-3.3,3.94,-0.4,827
Red nucleus,RN,-3.3,4.27,-0.4,854
Red nucleus,RN,-3.3,4.45,-0.39,854
Red nucleus,RN,-3.3,4.22,-0.36,854
Red nucleus,RN,-3.3,4.54,-0.35,854
Interstitial nucleus of Cajal,INC,-3.3,3.89,-0.33,841
Nucleus of Darkschewitsch,ND,-3.3,3.73,-0.3,842
Midbrain,MB,-3.3,4.72,-0.26,807
Midbrain reticular nucleus,MRN,-3.3,4.24,-0.25,827
Nucleus of Darkschewitsch,ND,-3.3,3.65,-0.11,842
Midbrain reticular nucleus,MRN,-3.3,4.09,0.26,827
Midbrain reticular nucleus,MRN,-3.3,4.17,0.27,827
Red nucleus,RN,-3.3,4.25,0.37,854
Midbrain reticular nucleus,MRN,-3.3,4.09,0.37,827
Red nucleus,RN,-3.3,4.35,0.4,854
Red nucleus,RN,-3.3,4.42,0.44,854
Midbrain reticular nucleus,MRN,-3.3,4.02,0.5,827
Red nucleus,RN,-3.3,4.19,0.5,854
Red nucleus,RN,-3.3,4.31,0.5,854
Red nucleus,RN,-3.3,4.41,0.52,854
Periaqueductal gray,PAG,-3.3,2.86,0.55,839
Red nucleus,RN,-3.3,4.4,0.62,854
Periaqueductal gray,PAG,-3.3,3.24,0.63,839
Red nucleus,RN,-3.3,4.35,0.67,854
Red nucleus,RN,-3.3,4.26,0.71,854
Red nucleus,RN,-3.3,4.32,0.72,854
Midbrain,MB,-3.3,3.15,0.74,807
Red nucleus,RN,-3.3,4.32,0.75,854
Superior colliculus motor related deep gray layer,SCdg,-3.3,2.82,0.77,832
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.65,0.78,834
Superior colliculus motor related deep gray layer,SCdg,-3.3,3.1,0.78,832
Midbrain reticular nucleus,MRN,-3.3,3.39,0.79,827
Superior colliculus motor related intermediate white layer,SCiw,-3.3,2.36,0.81,834
Red nucleus,RN,-3.3,4.14,0.8,854
Red nucleus,RN,-3.3,4.3,0.8,854
Midbrain,MB,-3.3,3.15,0.81,807
